feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,significant_05
const,-793.8810825269659,99.05609993153236,-8.014459312204872,2.13397707265186e-15,-988.1766874915927,-599.5854775623391,True
taxi_trip_count_lag_1,0.9709616595598867,0.02426044964864198,40.02240987376909,2.8240397305535605e-242,0.923375506415811,1.0185478127039624,True
taxi_trip_count_lag_2,-0.31664802945978043,0.020919904958431938,-15.136207840760427,1.9945486575749467e-48,-0.3576818031749834,-0.2756142557445775,True
taxi_trip_count_lag_24,0.12334819349005635,0.010614315459822155,11.620927789169276,5.193066722183073e-30,0.1025285282198003,0.1441678587603124,True
taxi_trip_count_lag_168,0.18737964960827524,0.013013732342132258,14.398609459764998,2.9781836827685587e-44,0.16185359921854633,0.21290569999800416,True
hour_of_day_1,357.3609127673485,80.36271573567718,4.44684963040264,9.323650784922605e-06,199.73182701436383,514.9899985203332,True
hour_of_day_10,827.3730806717424,89.28901235599226,9.266236223702801,6.120835678345216e-20,652.2353285858757,1002.5108327576091,True
hour_of_day_11,948.2717101801081,89.51428774203079,10.593523493287586,2.226594079068873e-25,772.6920870994793,1123.851333260737,True
hour_of_day_12,978.7535696108387,91.48908628739929,10.698036337757605,7.815342003202644e-26,799.300437697126,1158.2067015245514,True
hour_of_day_13,799.6852186246297,92.0713469814211,8.685494943242185,9.258055226348036e-18,619.0899996120881,980.2804376371712,True
hour_of_day_14,1065.378342039227,92.78641981482674,11.482050327681526,2.304035526866662e-29,883.3805288517043,1247.3761552267497,True
hour_of_day_15,761.583311720231,94.16630533338308,8.087641423585094,1.201535842997856e-15,576.8788939743304,946.2877294661316,True
hour_of_day_16,791.4099771665574,92.65326992534783,8.541630293288177,3.0707062040453674e-17,609.673333541991,973.1466207911237,True
hour_of_day_17,1328.4407628361087,97.22886949205844,13.66302796459661,3.0078709530898324e-40,1137.7292162373246,1519.1523094348927,True
hour_of_day_18,863.3073704786707,101.53964177879358,8.502170732091074,4.253201749156053e-17,664.1403717684581,1062.4743691888832,True
hour_of_day_19,-71.62106772373136,94.01269967499712,-0.7618233278198172,0.4462794426178091,-256.0241925220728,112.78205707461007,False
hour_of_day_2,490.64976097484487,86.36597332974368,5.6810540315634865,1.5915353452978424e-08,321.24546332876264,660.0540586209271,True
hour_of_day_20,635.1034899857771,87.71522264356709,7.240516193711727,6.95951760946299e-13,463.0526797891439,807.1543001824102,True
hour_of_day_21,1347.12485916093,90.5883447076546,14.870840873716723,6.599271007052629e-47,1169.4385051667423,1524.811213155118,True
hour_of_day_22,441.7977471721415,91.66173170213398,4.819871269809929,1.5749017666623173e-06,262.0059763929431,621.5895179513399,True
hour_of_day_23,-210.70045147131987,83.09495457848618,-2.5356587838592017,0.011319531280331389,-373.68874275771805,-47.712160184921714,True
hour_of_day_3,498.2676993346165,93.23777554917211,5.344053913768439,1.0420388734839381e-07,315.3845652479316,681.1508334213014,True
hour_of_day_4,592.2581970923577,98.073892026331,6.03889766027994,1.9317593169270735e-09,399.8891638307764,784.627230353939,True
hour_of_day_5,704.9132806377743,101.18531806615414,6.966556948280854,4.754953779255878e-12,506.44127739122496,903.3852838843236,True
hour_of_day_6,1220.5443244636842,101.62212530473309,12.010616003194698,7.337279475270003e-32,1021.2155367613439,1419.8731121660246,True
hour_of_day_7,1500.9614356519,105.32280895097286,14.251057777528406,1.950122764092673e-43,1294.3738666294203,1707.5490046743798,True
hour_of_day_8,940.6983208146607,107.18173470277988,8.776666317477158,4.290891828416055e-18,730.464524010335,1150.9321176189865,True
hour_of_day_9,604.2504907915581,97.02821941597018,6.227574765657327,6.062977886724942e-10,413.9325133717213,794.5684682113949,True
day_of_week_1,139.8439100676964,44.090208746494156,3.1717679286065104,0.0015443302991966104,53.36227201271589,226.32554812267693,True
day_of_week_2,285.3947857215705,45.22784847705703,6.310156139006794,3.614124541516124e-10,196.6817010435724,374.1078703995686,True
day_of_week_3,257.7072486106605,44.05456721396628,5.849728300791513,5.976223938729017e-09,171.29552036566798,344.118976855653,True
day_of_week_4,280.383649233855,44.23957731512646,6.337846477072596,3.034343100768098e-10,193.6090291573213,367.15826931038873,True
day_of_week_5,205.25192104850157,44.15814203691689,4.648110440808578,3.6291409264759395e-06,118.63703385723316,291.86680823976997,True
day_of_week_6,230.70792191754015,44.62772825330493,5.1696093650129935,2.6457643596489773e-07,143.17195527675545,318.24388855832484,True
regression_month_5,28.61947659116763,25.7549210957285,1.111223617606587,0.2666416028520042,-21.898038014895125,79.13699119723039,False
regression_month_6,127.68517686172757,33.06868733858076,3.8612109260460157,0.0001173892745630939,62.821926478594406,192.54842724486073,True
