feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,significant_05
const,-625.6177547941497,101.13286487379952,-6.186097423175327,7.848464584302409e-10,-823.9872605980624,-427.248248990237,True
taxi_trip_count_lag_1,0.9554444067077607,0.024254626362887808,39.39225417917357,1.1258411594549212e-236,0.9078695827267672,1.003019230688754,True
taxi_trip_count_lag_2,-0.29479380823045676,0.02172412775926233,-13.569880065945021,9.52624968945134e-40,-0.33740512447274357,-0.25218249198816994,True
taxi_trip_count_lag_24,0.13788469425224678,0.011691073628628212,11.794014701490308,7.999068651736162e-31,0.11495295489212748,0.16081643361236608,True
taxi_trip_count_lag_168,0.1392373906189006,0.012231423909336615,11.383579839189165,6.607836421549186e-29,0.11524576812110011,0.1632290131167011,True
subway_ridership,0.008753808913830463,0.0005233736536165281,16.72573476586254,6.374474606342126e-58,0.007727224992290672,0.009780392835370254,True
subway_ridership_lag_1,-0.007162419634709938,0.0007538501490101801,-9.501118550038537,7.439619575599296e-21,-0.008641077256996844,-0.0056837620124230315,True
subway_ridership_lag_2,0.0024382584751101418,0.0005647025336852369,4.317774987121305,1.6746086482648688e-05,0.0013306090213628986,0.003545907928857385,True
subway_ridership_lag_24,-0.001969767956224758,0.00033967762831563626,-5.798933435776361,8.052298274595171e-09,-0.002636036862437406,-0.0013034990500121104,True
hour_of_day_1,340.49591645347573,73.60771989257842,4.62581801134974,4.037181668855496e-06,196.11627253985384,484.8755603670976,True
hour_of_day_10,683.2722083657957,116.14472702914233,5.882937829750576,4.915431729803594e-09,455.4573221638508,911.0870945677406,True
hour_of_day_11,702.1998810564737,98.34934697281425,7.139853010417812,1.4225163180679572e-12,509.2901738165968,895.1095882963507,True
hour_of_day_12,756.2785428205361,90.32207832276588,8.373130433491303,1.2250463151470977e-16,579.1141159803828,933.4429696606894,True
hour_of_day_13,564.8316766754979,90.1919822196054,6.262548652054329,4.876772599649034e-10,387.92242998596294,741.7409233650328,True
hour_of_day_14,724.629533281789,94.04298204916222,7.705301528007473,2.297287392116857e-14,540.1666497602172,909.0924168033608,True
hour_of_day_15,326.64959425839606,101.37454155021159,3.222205390656233,0.0012981309689458537,127.80604588756887,525.4931426292233,True
hour_of_day_16,352.3542220314198,106.46360383620213,3.309621404264398,0.0009553615359685963,143.52860925514918,561.1798348076904,True
hour_of_day_17,717.2401831805946,121.45649440690778,5.905325908532084,4.3048856451651445e-09,479.00640228019984,955.4739640809894,True
hour_of_day_18,1018.8097935538494,111.49784827456799,9.137483900541191,1.9138552580142703e-19,800.1096401662661,1237.5099469414326,True
hour_of_day_19,-24.002550621460614,107.05749923816225,-0.22420242199067308,0.8226289340526304,-233.99307390959163,185.9879726666704,False
hour_of_day_2,445.3128767218707,79.39657874622563,5.608716190973658,2.4042054290170226e-08,289.5785354860719,601.0472179576694,True
hour_of_day_20,497.77057625859265,91.97976185029457,5.4117402159483685,7.20708224344865e-08,317.35464593788936,678.186506579296,True
hour_of_day_21,1290.4178980881743,85.02026886763119,15.177767787317132,1.169134239004685e-48,1123.6528337380878,1457.1829624382608,True
hour_of_day_22,480.9739237700089,84.89763031174958,5.665339798105573,1.742044103917325e-08,314.449411783915,647.4984357561028,True
hour_of_day_23,-100.67093565458708,76.36256726860195,-1.3183283283350273,0.18758581052949247,-250.45414163706687,49.1122703278927,False
hour_of_day_3,457.88752082387737,86.07939398968762,5.319362737134658,1.1913653416579245e-07,289.0450098662116,626.7300317815432,True
hour_of_day_4,503.1214650624743,91.37706936273855,5.5059925709068045,4.2809760593846243e-08,323.8877005101135,682.355229614835,True
hour_of_day_5,438.42006478582107,97.5577231035915,4.493955484388309,7.502518983666768e-06,247.06310734608334,629.7770222255588,True
hour_of_day_6,800.5535649524147,103.48631196343064,7.735840129613561,1.8237208426057802e-14,597.5678333875849,1003.5392965172446,True
hour_of_day_7,791.4546053609824,121.92170609194135,6.491498771876972,1.1364062852825692e-10,552.3083237401793,1030.6008869817856,True
hour_of_day_8,518.3727290331689,125.41288608341242,4.133329079823567,3.763977925181586e-05,272.3785879114524,764.3668701548853,True
hour_of_day_9,874.0079948084694,115.2774307063483,7.581778926309276,5.795698097998556e-14,647.89428797243,1100.121701644509,True
day_of_week_1,-137.82113623770798,51.347494973713616,-2.6840868538623535,0.007349182623788842,-238.5379231587051,-37.10434931671085,True
day_of_week_2,68.47606669904187,54.51230098523546,1.256158068205348,0.20924531528653348,-38.448405579769,175.40053897785273,False
day_of_week_3,83.16324585947433,52.52168181897442,1.5834078989723075,0.1135296695050225,-19.856678271236945,186.1831699901856,False
day_of_week_4,118.4629420656263,50.57381114070464,2.3423771986659845,0.01928554153131467,19.263716026484772,217.66216810476783,True
day_of_week_5,63.005243104285654,48.460396120925736,1.3001388380537668,0.1937439775746209,-32.0485738875075,158.0590600960788,False
day_of_week_6,269.9387663400629,44.01933616449765,6.132277082310322,1.0936650356601467e-09,183.59597389900824,356.28155878111755,True
regression_month_5,17.560434633806572,23.54145266969954,0.7459367474127371,0.455817151599434,-28.61551754377612,63.736386811389266,False
regression_month_6,96.17235380315823,30.27316277638905,3.176818838306711,0.0015179300925315911,36.792325890693874,155.55238171562257,True
