feature,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,significant_05
const,-959.7693890814489,97.7867171799653,-9.814925960906356,4.1269938189620083e-22,-1151.575418540197,-767.963359622701,True
taxi_trip_count_lag_1,0.6166176026915227,0.01324828583891595,46.5431988854173,4.489566126224573e-298,0.590631444477208,0.6426037609058374,True
taxi_trip_count_lag_24,0.12687676404235626,0.010645777954227985,11.918035918827988,2.050976735539446e-31,0.10599535541359523,0.1477581726711173,True
taxi_trip_count_lag_168,0.18823560259744473,0.013185479217278013,14.275977345653407,1.4366915715038913e-43,0.16237263789107773,0.21409856730381174,True
subway_ridership,0.004855618736613444,0.0003314138791132632,14.65122326682643,1.1671928717594923e-45,0.004205559279731909,0.005505678193494979,True
temperature_2m,-10.127941055045264,3.2173687915276274,-3.1478955977056184,0.0016753710928695035,-16.43872385872281,-3.8171582513677196,True
precipitation,-8.207875033466166,18.385939278336384,-0.44642130647832967,0.6553543925321571,-44.27140301096394,27.855652944031604,False
rain_flag,102.81940230584564,35.79115593705996,2.872760032859997,0.004123619589164334,32.6160075299254,173.02279708176587,True
hour_of_day_1,312.06268731634236,80.7249211020936,3.8657540082532087,0.00011525416886748613,153.72291437491506,470.4024602577697,True
hour_of_day_10,902.7531694973861,89.86494699211372,10.045665186633995,4.6766942086060593e-23,726.4854803146505,1079.0208586801216,True
hour_of_day_11,1047.5889225601936,90.81593621831077,11.53529838685926,1.3100113447408102e-29,869.4558934540489,1225.7219516663383,True
hour_of_day_12,1082.9717657186416,93.77339984862081,11.548816268439579,1.1332968729970686e-29,899.0377508287688,1266.9057806085143,True
hour_of_day_13,873.1193744225775,95.86090856611972,9.108190058728127,2.472517113583689e-19,685.0907670347573,1061.1479818103976,True
hour_of_day_14,914.8628181331524,101.29562040458904,9.031612763504096,4.821557195545778e-19,716.1741688802308,1113.551467386074,True
hour_of_day_15,508.07723391163563,106.54099191548984,4.768842722195147,2.0242753091637674e-06,299.0999287803261,717.0545390429452,True
hour_of_day_16,275.2014143024837,111.34895326069,2.471522239263288,0.013559136349051185,56.793421629871546,493.6094069750959,True
hour_of_day_17,539.0175513007971,121.50431223843924,4.436200998718735,9.791975297404476e-06,300.69009370059644,777.3450089009978,True
hour_of_day_18,661.9020518891489,110.05679727423808,6.014186022875353,2.2439008565501913e-09,446.02858861224763,877.7755151660501,True
hour_of_day_19,21.129809226388716,95.7894931090663,0.22058587576332855,0.8254435257213322,-166.75871865314622,209.01833710592365,False
hour_of_day_2,587.7277234412004,85.5500895550494,6.869983731145155,9.219370354802976e-12,419.923511676985,755.5319352054157,True
hour_of_day_20,382.25146530504526,89.26227348442688,4.282340684183163,1.9612271788737496e-05,207.1659040830699,557.3370265270206,True
hour_of_day_21,1287.832862817194,91.66400212966677,14.049494162336938,2.5058406975877812e-42,1108.0363751159812,1467.6293505184067,True
hour_of_day_22,880.973781464603,88.57463864888742,9.94611770257184,1.2029937772179434e-22,707.2369975748252,1054.7105653543808,True
hour_of_day_23,138.0210062953629,81.6205005383209,1.691009064941496,0.09103316994331735,-22.075421748940244,298.11743433966603,False
hour_of_day_3,725.2129335016898,89.72439023427575,8.082673302188129,1.2510736134949662e-15,549.2209426388486,901.204924364531,True
hour_of_day_4,838.7756933267381,93.42630070872536,8.97793969111315,7.677144886979215e-19,655.5225041131109,1022.0288825403652,True
hour_of_day_5,847.3917988079911,97.87693277029614,8.65772736050796,1.1704047204878069e-17,655.408813882533,1039.3747837334492,True
hour_of_day_6,1144.2535847930308,104.27341031097251,10.973589349197903,4.762048622838227e-27,939.7240803096938,1348.7830892763677,True
hour_of_day_7,1226.2218365518984,116.42324745965544,10.532448315159954,4.1029938505773517e-25,997.8607515710752,1454.5829215327217,True
hour_of_day_8,720.0475590022381,118.07888181588358,6.098021491471981,1.348790632386832e-09,488.4389915282745,951.6561264762017,True
hour_of_day_9,671.315827764709,96.59441503787336,6.949841018256543,5.338685628483792e-12,481.8484670575557,860.7831884718622,True
day_of_week_1,-69.89046616642892,49.32131568572638,-1.417043831753565,0.15666813545397784,-166.63290728908532,26.851974956227465,False
day_of_week_2,13.177623783892102,52.44740249398146,0.2512540785104522,0.80165049407849,-89.69655297450791,116.05180054229211,False
day_of_week_3,-43.48107065711022,50.53870454986764,-0.8603519034447451,0.389726198924876,-142.61138746546425,55.64924615124379,False
day_of_week_4,-28.918542260000194,49.78396565275882,-0.5808806486350621,0.5614041082323492,-126.5684589147618,68.73137439476142,False
day_of_week_5,-73.60287923253513,48.33337773084069,-1.522816792205491,0.12800554613697393,-168.4075064890252,21.201748023954934,False
day_of_week_6,196.39810415170675,44.90893089087095,4.373252719574992,1.3044677227551828e-05,108.31043775052726,284.48577055288627,True
regression_month_5,61.393685058688234,31.05495534575202,1.976936832629715,0.04822315908976713,0.48022102527451693,122.30714909210195,True
regression_month_6,211.7542489575438,44.99755113867816,4.705906068197742,2.7491423286069854e-06,123.49275631133075,300.01574160375685,True
