pickup_hour,temporal_residual_demand,subway_ridership,taxi_trip_count
2024-04-08 00:00:00,-659.066878050267,15831,1072.0
2024-04-08 01:00:00,-380.8213224843678,6818,469.0
2024-04-08 02:00:00,-301.48303023776066,4748,264.0
2024-04-08 03:00:00,-183.90378520428078,5926,212.0
2024-04-08 04:00:00,44.09046620856191,17385,436.0
2024-04-08 05:00:00,159.8167462793383,63612,818.0
2024-04-08 06:00:00,327.54790234205984,145270,1990.0
2024-04-08 07:00:00,700.9445675194902,289225,3966.0
2024-04-08 08:00:00,315.3257525823328,333505,4983.0
2024-04-08 09:00:00,-183.83945699065407,203598,4711.0
2024-04-08 10:00:00,10.639149037118841,141283,4728.0
2024-04-08 11:00:00,-76.49349969147806,129310,4975.0
2024-04-08 12:00:00,-44.95566032948318,146886,5423.0
2024-04-08 13:00:00,212.24074880111402,170764,5867.0
2024-04-08 14:00:00,211.2423080844119,196723,6538.0
2024-04-08 15:00:00,-427.20687827552774,233633,6065.0
2024-04-08 16:00:00,124.09493914833729,282014,5969.0
2024-04-08 17:00:00,147.65428401879672,333021,6637.0
2024-04-08 18:00:00,834.2012143481707,256995,7562.0
2024-04-08 19:00:00,-584.0452848518898,153566,5634.0
2024-04-08 20:00:00,1197.212968891903,116048,5931.0
2024-04-08 21:00:00,-710.0934068496235,81959,5491.0
2024-04-08 22:00:00,176.03575610964162,65138,4687.0
2024-04-08 23:00:00,29.28216901552878,24282,2817.0
2024-04-09 00:00:00,147.45514966207566,19796,1288.0
2024-04-09 01:00:00,220.8213401890485,7586,566.0
2024-04-09 02:00:00,19.334963201080598,4934,234.0
2024-04-09 03:00:00,67.6390569473752,6171,184.0
2024-04-09 04:00:00,-105.78038426005543,17932,222.0
2024-04-09 05:00:00,112.1477977856041,66340,725.0
2024-04-09 06:00:00,-211.34721470149248,154757,1791.0
2024-04-09 07:00:00,276.34779549210225,320843,4109.0
2024-04-09 08:00:00,-170.87325423790753,401403,5542.0
2024-04-09 09:00:00,-354.6317655419334,247294,5567.0
2024-04-09 10:00:00,-214.0307558596969,156968,5447.0
2024-04-09 11:00:00,-213.47829822799758,139006,5531.0
2024-04-09 12:00:00,-66.33547805324906,148067,6096.0
2024-04-09 13:00:00,-244.14700374371296,167288,6337.0
2024-04-09 14:00:00,-231.1299352912265,210731,6862.0
2024-04-09 15:00:00,-360.66711311043036,269152,6863.0
2024-04-09 16:00:00,-59.58511972784527,319099,7019.0
2024-04-09 17:00:00,-77.29912198544116,408643,8016.0
2024-04-09 18:00:00,45.25617841996245,307463,8891.0
2024-04-09 19:00:00,52.98968005846018,191596,7965.0
2024-04-09 20:00:00,785.9568827953772,136627,8334.0
2024-04-09 21:00:00,374.6970903390338,112489,9108.0
2024-04-09 22:00:00,113.17339482189709,88779,8233.0
2024-04-09 23:00:00,187.41537276413328,24757,5688.0
2024-04-10 00:00:00,-730.4653187519125,23599,2171.0
2024-04-10 01:00:00,448.57662506193975,9025,755.0
2024-04-10 02:00:00,249.56375680218588,5556,341.0
2024-04-10 03:00:00,87.84815112021766,6376,198.0
2024-04-10 04:00:00,127.2180127115218,17464,329.0
2024-04-10 05:00:00,73.6673845763828,63074,724.0
2024-04-10 06:00:00,160.65720713304358,136196,2090.0
2024-04-10 07:00:00,-333.9917072442631,251536,3806.0
2024-04-10 08:00:00,-535.1705683371292,356425,4886.0
2024-04-10 09:00:00,-358.01925477118675,242032,5191.0
2024-04-10 10:00:00,-234.21403278810885,159723,5354.0
2024-04-10 11:00:00,-111.54534381117992,145544,5736.0
2024-04-10 12:00:00,-137.3022837503404,155642,6221.0
2024-04-10 13:00:00,-70.5719719924391,167025,6433.0
2024-04-10 14:00:00,-324.06032146503094,188610,6600.0
2024-04-10 15:00:00,-215.29157548017793,234894,6742.0
2024-04-10 16:00:00,-46.3157732219679,297243,7235.0
2024-04-10 17:00:00,-88.73812748192904,387279,8591.0
2024-04-10 18:00:00,100.59486838356861,295937,9704.0
2024-04-10 19:00:00,-542.4122616294935,183667,8352.0
2024-04-10 20:00:00,481.70650405434753,133473,8529.0
2024-04-10 21:00:00,-1090.4278037714903,108974,8239.0
2024-04-10 22:00:00,-127.94735578035761,94571,7658.0
2024-04-10 23:00:00,146.63622405223668,46618,5930.0
2024-04-11 00:00:00,-308.1478231107626,22677,3192.0
2024-04-11 01:00:00,-215.02490218196954,8723,1138.0
2024-04-11 02:00:00,270.95418014678125,5271,540.0
2024-04-11 03:00:00,105.6047840836286,6345,360.0
2024-04-11 04:00:00,183.1723321959813,17918,578.0
2024-04-11 05:00:00,119.28805382973405,65341,1046.0
