feature,VIF
taxi_trip_count_lag_168,43.88128647598309
taxi_trip_count_lag_1,33.62261734829431
taxi_trip_count_lag_24,25.36925645126292
temperature_2m,24.18626537699518
subway_ridership,22.018329969277133
regression_month_6,5.764073567764635
hour_of_day_17,4.38309061164691
hour_of_day_18,3.788252199395514
hour_of_day_16,3.711942859632458
hour_of_day_15,3.4436140354205924
regression_month_5,3.1733757570460064
hour_of_day_14,3.1497428276981903
hour_of_day_19,2.9097615318358123
hour_of_day_8,2.909583970176281
hour_of_day_13,2.818943510493834
hour_of_day_12,2.647393792790316
hour_of_day_21,2.591325111992496
day_of_week_2,2.5255782820118666
day_of_week_4,2.499608056441343
hour_of_day_20,2.4694577422913593
hour_of_day_22,2.461798277904333
day_of_week_3,2.4595458609438023
hour_of_day_11,2.393604796237242
hour_of_day_7,2.334633313446392
hour_of_day_9,2.28771309695838
day_of_week_5,2.258499944680164
hour_of_day_10,2.208132586639908
day_of_week_1,2.1473306276942736
hour_of_day_23,2.049289471765336
day_of_week_6,1.9966883016600794
hour_of_day_6,1.570270783161948
rain_flag,1.5234237041741792
hour_of_day_1,1.4743527919338846
hour_of_day_2,1.3970211651926219
hour_of_day_3,1.3773570973581817
hour_of_day_5,1.37315504375832
hour_of_day_4,1.3679751826331024
precipitation,1.281939992516218
